place_id,slot,date,time,rater,weather,temp_f,lux,kelvin,db_mean,db_peak,db_variability,seats_total,seats_occupied,capacity,people_visible,enclosure,complexity,greenery,daylight,seat_comfort,privacy,talk_ok,thermal,outlets,wifi,food_drink,restroom,table_surface,back_to_wall,photo_wide,photo_pov,photo_light,notes
p07,D_wkdy_evening,GUESS,,guess_v1,clear,53,372,3200,32.8,44.8,1,120,22,120,28,4,1,1,2,3,4,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p07,E_wkend_midday,GUESS,,guess_v1,clear,61,434,4000,34.4,44.2,1,120,24,120,30,4,1,1,4,3,4,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p08,A_wkdy_morning,GUESS,,guess_v1,fog,54,313,4000,30,38.4,1,120,21,120,26,4,1,1,4,3,5,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p08,B_wkdy_midday,GUESS,,guess_v1,clear,58,428,4000,32.6,40.2,1,120,37,120,46,4,2,1,4,3,4,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p08,C_wkdy_afternoon,GUESS,,guess_v1,clear,60,394,4000,31.2,39.9,1,120,32,120,40,4,2,1,4,3,5,1,5,1,1,0,1,1,1,,,,"guessed, not measured"
p08,D_wkdy_evening,GUESS,,guess_v1,clear,51,379,3200,30,37.0,1,120,14,120,17,4,1,1,2,3,5,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p08,E_wkend_midday,GUESS,,guess_v1,clear,59,419,4000,30,37.6,1,120,13,120,16,4,1,1,4,3,5,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p09,A_wkdy_morning,GUESS,,guess_v1,fog,53,316,4000,35.8,46.7,1,120,35,120,44,4,2,1,4,3,3,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p09,B_wkdy_midday,GUESS,,guess_v1,clear,58,398,4000,44.1,55.2,2,120,66,120,83,4,2,1,4,3,3,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p09,C_wkdy_afternoon,GUESS,,guess_v1,clear,60,405,4000,42.1,52.3,2,120,66,120,83,4,2,1,4,3,3,1,5,1,1,0,1,1,1,,,,"guessed, not measured"
p09,D_wkdy_evening,GUESS,,guess_v1,clear,54,377,3200,31.3,41.4,1,120,24,120,30,4,1,1,2,3,4,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p09,E_wkend_midday,GUESS,,guess_v1,clear,58,406,4000,32.9,43.6,1,120,25,120,31,4,1,1,4,3,4,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p10,A_wkdy_morning,GUESS,,guess_v1,fog,56,305,4000,36.7,48.5,1,120,32,120,40,4,2,1,4,3,4,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p10,B_wkdy_midday,GUESS,,guess_v1,clear,58,403,4000,43.9,54.1,2,120,69,120,86,4,2,1,4,3,3,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p10,C_wkdy_afternoon,GUESS,,guess_v1,clear,62,365,4000,41.7,52.1,2,120,60,120,75,4,2,1,4,3,3,1,5,1,1,0,1,1,1,,,,"guessed, not measured"
p10,D_wkdy_evening,GUESS,,guess_v1,clear,54,327,3200,32.3,41.0,1,120,27,120,34,4,1,1,2,3,4,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p10,E_wkend_midday,GUESS,,guess_v1,clear,61,406,4000,33.3,44.0,1,120,15,120,19,4,1,1,4,3,4,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p11,A_wkdy_morning,GUESS,,guess_v1,fog,55,333,3600,60.3,80.1,5,45,23,45,29,3,4,2,4,4,2,5,3,1,1,1,1,1,0,,,,"guessed, not measured"
p11,B_wkdy_midday,GUESS,,guess_v1,clear,59,532,3600,72.3,90.5,5,45,45,45,59,3,5,2,4,4,1,5,4,1,1,1,1,1,0,,,,"guessed, not measured"
p11,C_wkdy_afternoon,GUESS,,guess_v1,clear,61,507,3600,69.8,91.0,5,45,45,45,57,3,5,2,4,4,1,5,5,1,1,1,1,1,0,,,,"guessed, not measured"
p11,D_wkdy_evening,GUESS,,guess_v1,clear,52,403,3200,57.1,75.9,4,45,16,45,20,3,4,2,2,4,2,5,3,1,1,1,1,1,0,,,,"guessed, not measured"
p11,E_wkend_midday,GUESS,,guess_v1,clear,60,506,3600,57.4,76.5,5,45,17,45,21,3,4,2,4,4,2,5,4,1,1,1,1,1,0,,,,"guessed, not measured"
p12,A_wkdy_morning,GUESS,,guess_v1,fog,55,281,3600,56.0,73.9,3,45,12,45,15,3,4,2,4,4,3,5,3,1,1,1,1,1,0,,,,"guessed, not measured"
p12,B_wkdy_midday,GUESS,,guess_v1,clear,58,541,3600,64.0,82.6,4,45,29,45,36,3,4,2,4,4,2,5,4,1,1,1,1,1,0,,,,"guessed, not measured"
p12,C_wkdy_afternoon,GUESS,,guess_v1,clear,61,432,3600,61.7,80.2,4,45,23,45,29,3,4,2,4,4,2,5,5,1,1,1,1,1,0,,,,"guessed, not measured"
p12,D_wkdy_evening,GUESS,,guess_v1,clear,53,15,3200,53.2,71.8,3,45,10,45,12,3,3,2,1,4,3,5,3,1,1,1,1,1,0,,,,"guessed, not measured"
p12,E_wkend_midday,GUESS,,guess_v1,clear,60,533,3600,53.4,71.5,3,45,6,45,8,3,3,2,4,4,3,5,4,1,1,1,1,1,0,,,,"guessed, not measured"
p13,A_wkdy_morning,GUESS,,guess_v1,fog,54,684,5200,46.7,65.4,3,25,6,25,8,3,3,2,5,2,3,3,2,0,1,0,1,0,0,,,,"guessed, not measured"
p13,B_wkdy_midday,GUESS,,guess_v1,clear,59,958,5200,54.7,73.1,4,25,16,25,20,3,4,2,5,2,2,3,3,0,1,0,1,0,0,,,,"guessed, not measured"
p13,C_wkdy_afternoon,GUESS,,guess_v1,clear,60,849,5200,50.9,67.9,4,25,12,25,15,3,4,2,5,2,2,3,4,0,1,0,1,0,0,,,,"guessed, not measured"
p13,D_wkdy_evening,GUESS,,guess_v1,clear,51,806,3200,42.7,57.7,3,25,3,25,4,3,3,2,3,2,3,3,2,0,1,0,1,0,0,,,,"guessed, not measured"
p13,E_wkend_midday,GUESS,,guess_v1,clear,60,843,5200,43.7,59.1,3,25,4,25,5,3,3,2,5,2,3,3,3,0,1,0,1,0,0,,,,"guessed, not measured"
p14,A_wkdy_morning,GUESS,,guess_v1,fog,54,2258,5600,44.9,59.2,2,20,6,20,7,3,3,3,5,3,3,4,2,0,1,0,0,1,1,,,,"guessed, not measured"
p14,B_wkdy_midday,GUESS,,guess_v1,clear,59,3818,5600,52.1,64.6,3,20,13,20,16,3,3,3,5,3,3,4,3,0,1,0,0,1,1,,,,"guessed, not measured"
p14,C_wkdy_afternoon,GUESS,,guess_v1,clear,61,3430,5600,49.9,63.6,3,20,11,20,14,3,3,3,5,3,3,4,4,0,1,0,0,1,1,,,,"guessed, not measured"
p14,D_wkdy_evening,GUESS,,guess_v1,clear,51,122,3200,39.6,54.6,2,20,3,20,4,3,2,3,1,3,4,4,2,0,1,0,0,1,1,,,,"guessed, not measured"
p14,E_wkend_midday,GUESS,,guess_v1,clear,58,3850,5600,42.6,56.3,2,20,4,20,5,3,2,3,5,3,4,4,3,0,1,0,0,1,1,,,,"guessed, not measured"
p15,A_wkdy_morning,GUESS,,guess_v1,fog,56,192,4300,39.7,60.1,4,14,4,14,5,3,3,1,3,2,2,3,2,0,1,0,1,0,1,,,,"guessed, not measured"
p15,B_wkdy_midday,GUESS,,guess_v1,clear,60,303,4300,48.7,69.9,5,14,8,14,10,3,3,1,3,2,2,3,3,0,1,0,1,0,1,,,,"guessed, not measured"
p15,C_wkdy_afternoon,GUESS,,guess_v1,clear,62,266,4300,44.2,64.4,5,14,7,14,9,3,3,1,3,2,2,3,4,0,1,0,1,0,1,,,,"guessed, not measured"
p15,D_wkdy_evening,GUESS,,guess_v1,clear,52,238,3200,35.7,55.6,4,14,3,14,4,3,2,1,1,2,3,3,2,0,1,0,1,0,1,,,,"guessed, not measured"
p15,E_wkend_midday,GUESS,,guess_v1,clear,58,290,4300,38.4,58.3,4,14,3,14,4,3,2,1,3,2,3,3,3,0,1,0,1,0,1,,,,"guessed, not measured"
p16,A_wkdy_morning,GUESS,,guess_v1,fog,52,809,3900,44.9,57.0,2,35,9,35,11,4,3,2,5,5,5,4,3,1,1,0,1,1,1,,,,"guessed, not measured"
p16,B_wkdy_midday,GUESS,,guess_v1,clear,59,1065,3900,51.6,66.0,3,35,18,35,23,4,4,2,5,5,4,4,4,1,1,0,1,1,1,,,,"guessed, not measured"
p16,C_wkdy_afternoon,GUESS,,guess_v1,clear,60,923,3900,48.0,62.5,3,35,17,35,21,4,4,2,5,5,4,4,5,1,1,0,1,1,1,,,,"guessed, not measured"
p16,D_wkdy_evening,GUESS,,guess_v1,clear,52,924,3200,38.9,52.6,2,35,5,35,6,4,3,2,3,5,5,4,3,1,1,0,1,1,1,,,,"guessed, not measured"
p16,E_wkend_midday,GUESS,,guess_v1,clear,60,1041,3900,40.9,53.1,2,35,5,35,6,4,3,2,5,5,5,4,4,1,1,0,1,1,1,,,,"guessed, not measured"
p17,A_wkdy_morning,GUESS,,guess_v1,fog,55,2132,5600,43.9,58.9,2,20,6,20,7,3,3,3,5,3,3,4,2,0,1,0,0,1,1,,,,"guessed, not measured"
p17,B_wkdy_midday,GUESS,,guess_v1,clear,59,4075,5600,53.5,68.4,3,20,11,20,14,3,3,3,5,3,3,4,3,0,1,0,0,1,1,,,,"guessed, not measured"
p17,C_wkdy_afternoon,GUESS,,guess_v1,clear,62,3520,5600,50.5,63.0,3,20,10,20,12,3,3,3,5,3,3,4,4,0,1,0,0,1,1,,,,"guessed, not measured"
p17,D_wkdy_evening,GUESS,,guess_v1,clear,51,109,3200,39.0,53.5,2,20,3,20,4,3,2,3,1,3,4,4,2,0,1,0,0,1,1,,,,"guessed, not measured"
p17,E_wkend_midday,GUESS,,guess_v1,clear,59,3544,5600,41.0,55.7,2,20,4,20,5,3,2,3,5,3,4,4,3,0,1,0,0,1,1,,,,"guessed, not measured"
p18,A_wkdy_morning,GUESS,,guess_v1,fog,56,1084,5200,43.6,59.2,3,25,4,25,5,3,3,2,5,2,3,3,2,0,1,0,1,0,0,,,,"guessed, not measured"
p18,B_wkdy_midday,GUESS,,guess_v1,clear,60,1570,5200,52.4,69.2,4,25,10,25,12,3,4,2,5,2,2,3,3,0,1,0,1,0,0,,,,"guessed, not measured"
p18,C_wkdy_afternoon,GUESS,,guess_v1,clear,59,1254,5200,49.1,64.2,3,25,8,25,10,3,4,2,5,2,2,3,4,0,1,0,1,0,0,,,,"guessed, not measured"
p18,D_wkdy_evening,GUESS,,guess_v1,clear,51,1194,3200,41.6,58.7,3,25,3,25,4,3,3,2,3,2,3,3,2,0,1,0,1,0,0,,,,"guessed, not measured"
p18,E_wkend_midday,GUESS,,guess_v1,clear,58,1615,5200,43.3,62.1,3,25,2,25,2,3,3,2,5,2,3,3,3,0,1,0,1,0,0,,,,"guessed, not measured"
p19,A_wkdy_morning,GUESS,,guess_v1,fog,53,381,3900,44.7,58.2,2,35,8,35,10,4,3,2,4,5,4,4,3,1,1,0,1,1,1,,,,"guessed, not measured"
p19,B_wkdy_midday,GUESS,,guess_v1,clear,58,529,3900,53.0,66.3,3,35,21,35,26,4,4,2,4,5,3,4,4,1,1,0,1,1,1,,,,"guessed, not measured"
p19,C_wkdy_afternoon,GUESS,,guess_v1,clear,61,464,3900,50.5,62.9,3,35,19,35,24,4,4,2,4,5,3,4,5,1,1,0,1,1,1,,,,"guessed, not measured"
p19,D_wkdy_evening,GUESS,,guess_v1,clear,50,443,3200,39.1,51.3,2,35,6,35,7,4,3,2,2,5,4,4,3,1,1,0,1,1,1,,,,"guessed, not measured"
p19,E_wkend_midday,GUESS,,guess_v1,clear,60,554,3900,42.2,56.6,2,35,7,35,9,4,3,2,4,5,4,4,4,1,1,0,1,1,1,,,,"guessed, not measured"
p20,A_wkdy_morning,GUESS,,guess_v1,fog,55,228,4300,39.9,59.9,4,14,4,14,5,3,2,1,3,2,3,3,2,0,1,0,1,0,1,,,,"guessed, not measured"
p20,B_wkdy_midday,GUESS,,guess_v1,clear,61,315,4300,50.1,71.0,5,14,8,14,10,3,3,1,3,2,2,3,3,0,1,0,1,0,1,,,,"guessed, not measured"
p20,C_wkdy_afternoon,GUESS,,guess_v1,clear,61,279,4300,46.5,68.0,5,14,7,14,9,3,3,1,3,2,2,3,4,0,1,0,1,0,1,,,,"guessed, not measured"
p20,D_wkdy_evening,GUESS,,guess_v1,clear,52,235,3200,36.0,56.9,4,14,3,14,4,3,2,1,1,2,3,3,2,0,1,0,1,0,1,,,,"guessed, not measured"
p20,E_wkend_midday,GUESS,,guess_v1,clear,60,307,4300,35.5,54.9,4,14,2,14,3,3,2,1,3,2,3,3,3,0,1,0,1,0,1,,,,"guessed, not measured"
p21,A_wkdy_morning,GUESS,,guess_v1,fog,55,2029,5600,44.8,59.1,2,20,5,20,6,3,2,3,5,3,4,4,2,0,1,0,0,1,1,,,,"guessed, not measured"
p21,B_wkdy_midday,GUESS,,guess_v1,clear,60,4142,5600,53.1,66.3,3,20,12,20,15,3,3,3,5,3,3,4,3,0,1,0,0,1,1,,,,"guessed, not measured"
p21,C_wkdy_afternoon,GUESS,,guess_v1,clear,61,2953,5600,50.3,65.8,3,20,11,20,14,3,3,3,5,3,3,4,4,0,1,0,0,1,1,,,,"guessed, not measured"
p21,D_wkdy_evening,GUESS,,guess_v1,clear,51,105,3200,39.5,52.7,2,20,4,20,5,3,2,3,1,3,4,4,2,0,1,0,0,1,1,,,,"guessed, not measured"
p21,E_wkend_midday,GUESS,,guess_v1,clear,60,4077,5600,39.7,52.3,2,20,3,20,4,3,2,3,5,3,4,4,3,0,1,0,0,1,1,,,,"guessed, not measured"
p22,A_wkdy_morning,GUESS,,guess_v1,fog,55,5391,5700,41.3,55.2,3,0,0,60,35,1,2,5,5,2,2,4,2,0,1,0,0,0,0,,,,"guessed, not measured"
p22,B_wkdy_midday,GUESS,,guess_v1,clear,58,9420,5700,50.8,64.8,4,0,0,60,80,1,3,5,5,2,1,4,3,0,1,0,0,0,0,,,,"guessed, not measured"
p22,C_wkdy_afternoon,GUESS,,guess_v1,clear,60,7194,5700,46.8,60.3,4,0,0,60,69,1,3,5,5,2,1,4,4,0,1,0,0,0,0,,,,"guessed, not measured"
p22,D_wkdy_evening,GUESS,,guess_v1,clear,53,266,3200,34.3,49.7,3,0,0,60,24,1,2,5,1,2,2,4,2,0,1,0,0,0,0,,,,"guessed, not measured"
p22,E_wkend_midday,GUESS,,guess_v1,clear,60,9251,5700,36.0,48.8,3,0,0,60,22,1,2,5,5,2,2,4,3,0,1,0,0,0,0,,,,"guessed, not measured"
p23,A_wkdy_morning,GUESS,,guess_v1,fog,53,4517,5700,38.2,51.0,2,0,0,60,15,1,1,5,5,2,3,4,2,0,1,0,0,0,0,,,,"guessed, not measured"
p23,B_wkdy_midday,GUESS,,guess_v1,clear,61,8822,5700,45.6,60.3,3,0,0,60,33,1,2,5,5,2,2,4,3,0,1,0,0,0,0,,,,"guessed, not measured"
p23,C_wkdy_afternoon,GUESS,,guess_v1,clear,59,8262,5700,42.2,57.7,3,0,0,60,32,1,2,5,5,2,2,4,4,0,1,0,0,0,0,,,,"guessed, not measured"
p23,D_wkdy_evening,GUESS,,guess_v1,clear,51,293,3200,34.1,47.6,2,0,0,60,13,1,1,5,1,2,3,4,2,0,1,0,0,0,0,,,,"guessed, not measured"
p23,E_wkend_midday,GUESS,,guess_v1,clear,62,8949,5700,36.3,50.8,2,0,0,60,10,1,1,5,5,2,3,4,3,0,1,0,0,0,0,,,,"guessed, not measured"
p24,A_wkdy_morning,GUESS,,guess_v1,fog,54,506,5000,33.3,42.1,1,8,1,8,1,3,1,5,2,2,5,3,1,0,0,0,0,0,0,,,,"guessed, not measured"
p24,B_wkdy_midday,GUESS,,guess_v1,clear,59,839,5000,39.3,49.9,1,8,2,8,3,3,2,5,2,2,5,3,2,0,0,0,0,0,0,,,,"guessed, not measured"
p24,C_wkdy_afternoon,GUESS,,guess_v1,clear,60,776,5000,37.6,47.0,1,8,2,8,3,3,2,5,2,2,5,3,3,0,0,0,0,0,0,,,,"guessed, not measured"
p24,D_wkdy_evening,GUESS,,guess_v1,clear,53,29,3200,30,42.4,1,8,1,8,1,3,1,5,1,2,5,3,1,0,0,0,0,0,0,,,,"guessed, not measured"
p24,E_wkend_midday,GUESS,,guess_v1,clear,60,946,5000,30,42.0,1,8,0,8,0,3,1,5,2,2,5,3,2,0,0,0,0,0,0,,,,"guessed, not measured"
p25,A_wkdy_morning,GUESS,,guess_v1,fog,54,1224,5200,44.1,52.1,1,10,1,10,1,2,2,5,4,3,5,3,2,0,0,0,0,0,0,,,,"guessed, not measured"
p25,B_wkdy_midday,GUESS,,guess_v1,clear,62,2101,5200,54.1,60.1,1,10,4,10,5,2,3,5,4,3,4,3,3,0,0,0,0,0,0,,,,"guessed, not measured"
p25,C_wkdy_afternoon,GUESS,,guess_v1,clear,59,1722,5200,51.3,56.7,1,10,3,10,4,2,3,5,4,3,4,3,4,0,0,0,0,0,0,,,,"guessed, not measured"
p25,D_wkdy_evening,GUESS,,guess_v1,clear,51,66,3200,41.9,47.5,1,10,1,10,1,2,2,5,1,3,5,3,2,0,0,0,0,0,0,,,,"guessed, not measured"
p25,E_wkend_midday,GUESS,,guess_v1,clear,59,2252,5200,42.7,50.1,1,10,1,10,1,2,2,5,4,3,5,3,3,0,0,0,0,0,0,,,,"guessed, not measured"
p26,A_wkdy_morning,GUESS,,guess_v1,fog,55,4307,5700,30,39.8,1,4,0,4,0,1,1,4,5,2,5,3,2,0,0,0,0,0,0,,,,"guessed, not measured"
p26,B_wkdy_midday,GUESS,,guess_v1,clear,61,7667,5700,36.2,47.8,1,4,0,4,0,1,1,4,5,2,5,3,3,0,0,0,0,0,0,,,,"guessed, not measured"
p26,C_wkdy_afternoon,GUESS,,guess_v1,clear,60,6731,5700,34.1,43.5,1,4,0,4,0,1,1,4,5,2,5,3,4,0,0,0,0,0,0,,,,"guessed, not measured"
p26,D_wkdy_evening,GUESS,,guess_v1,clear,53,227,3200,30,39.7,1,4,0,4,0,1,1,4,1,2,5,3,2,0,0,0,0,0,0,,,,"guessed, not measured"
p26,E_wkend_midday,GUESS,,guess_v1,clear,61,6956,5700,30,39.9,1,4,0,4,0,1,1,4,5,2,5,3,3,0,0,0,0,0,0,,,,"guessed, not measured"
p27,A_wkdy_morning,GUESS,,guess_v1,fog,55,4937,5700,36.1,50.0,2,0,0,60,14,1,1,5,5,2,3,4,2,0,1,0,0,0,0,,,,"guessed, not measured"
p27,B_wkdy_midday,GUESS,,guess_v1,clear,60,8535,5700,47.7,59.6,3,0,0,60,35,1,2,5,5,2,2,4,3,0,1,0,0,0,0,,,,"guessed, not measured"
p27,C_wkdy_afternoon,GUESS,,guess_v1,clear,60,7917,5700,42.5,57.0,3,0,0,60,28,1,2,5,5,2,2,4,4,0,1,0,0,0,0,,,,"guessed, not measured"
p27,D_wkdy_evening,GUESS,,guess_v1,clear,51,264,3200,33.4,47.9,2,0,0,60,9,1,1,5,1,2,3,4,2,0,1,0,0,0,0,,,,"guessed, not measured"
p27,E_wkend_midday,GUESS,,guess_v1,clear,61,9713,5700,35.3,50.6,2,0,0,60,11,1,1,5,5,2,3,4,3,0,1,0,0,0,0,,,,"guessed, not measured"
p28,A_wkdy_morning,GUESS,,guess_v1,fog,54,4787,5700,38.6,51.4,2,0,0,60,16,1,1,5,5,2,3,4,2,0,1,0,0,0,0,,,,"guessed, not measured"
p28,B_wkdy_midday,GUESS,,guess_v1,clear,59,8776,5700,48.5,61.1,3,0,0,60,39,1,2,5,5,2,2,4,3,0,1,0,0,0,0,,,,"guessed, not measured"
p28,C_wkdy_afternoon,GUESS,,guess_v1,clear,61,7230,5700,43.0,56.1,3,0,0,60,30,1,2,5,5,2,2,4,4,0,1,0,0,0,0,,,,"guessed, not measured"
p28,D_wkdy_evening,GUESS,,guess_v1,clear,51,273,3200,34.4,49.3,2,0,0,60,13,1,1,5,1,2,3,4,2,0,1,0,0,0,0,,,,"guessed, not measured"
p28,E_wkend_midday,GUESS,,guess_v1,clear,60,8226,5700,36.3,49.0,2,0,0,60,12,1,1,5,5,2,3,4,3,0,1,0,0,0,0,,,,"guessed, not measured"
p29,A_wkdy_morning,GUESS,,guess_v1,fog,55,1469,5100,33.9,46.2,1,4,1,4,1,2,3,5,4,2,4,3,2,0,0,0,0,0,0,,,,"guessed, not measured"
p29,B_wkdy_midday,GUESS,,guess_v1,clear,58,2405,5100,42.8,54.4,2,4,2,4,3,2,3,5,4,2,4,3,3,0,0,0,0,0,0,,,,"guessed, not measured"
p29,C_wkdy_afternoon,GUESS,,guess_v1,clear,59,2263,5100,40.7,49.5,2,4,2,4,3,2,3,5,4,2,4,3,4,0,0,0,0,0,0,,,,"guessed, not measured"
p29,D_wkdy_evening,GUESS,,guess_v1,clear,53,74,3200,30.7,40.1,1,4,1,4,1,2,2,5,1,2,5,3,2,0,0,0,0,0,0,,,,"guessed, not measured"
p29,E_wkend_midday,GUESS,,guess_v1,clear,61,2524,5100,31.8,41.8,1,4,1,4,1,2,2,5,4,2,5,3,3,0,0,0,0,0,0,,,,"guessed, not measured"
